Angle;Correlation_p0;Correlation_p1;Correlation_p2;Ionization_Calibration_p0;Ionization_Calibration_p1;Ionization_Calibration_p2;Ionization_Resolution_p0;Ionization_Resolution_p1;Ionization_Resolution_p2;Ionization_TriggerEfficiency_p0;Ionization_TriggerEfficiency_p1;Multiplicity;Rotated_Calibration_p0;Rotated_Calibration_p1;Rotated_Calibration_p2;Rotated_Resolution_p0;Rotated_Resolution_p1;Rotated_Resolution_p2;Rotated_TriggerEfficiency_p0;Rotated_TriggerEfficiency_p1;Scintillation_Calibration_p0;Scintillation_Calibration_p1;Scintillation_Calibration_p2;Scintillation_Resolution_p0;Scintillation_Resolution_p1;Scintillation_Resolution_p2;Scintillation_TriggerEfficiency_p0;Scintillation_TriggerEfficiency_p1;TriggerEfficiency_Correlation_p0;WeekIndex;end_time;end_time_sec;start_time;start_time_sec
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26;2012-03-16 11:00:00;1331895600;2012-03-09 11:00:00;1331290800
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26;2012-03-16 11:00:00;1331895600;2012-03-09 11:00:00;1331290800
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27;2012-03-23 11:00:00;1332500400;2012-03-16 11:00:00;1331895600
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27;2012-03-23 11:00:00;1332500400;2012-03-16 11:00:00;1331895600
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28;2012-03-30 11:00:00;1333105200;2012-03-23 11:00:00;1332500400
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28;2012-03-30 11:00:00;1333105200;2012-03-23 11:00:00;1332500400
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29;2012-04-06 11:00:00;1333710000;2012-03-30 11:00:00;1333105200
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29;2012-04-06 11:00:00;1333710000;2012-03-30 11:00:00;1333105200
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30;2012-04-13 11:00:00;1334314800;2012-04-06 11:00:00;1333710000
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30;2012-04-13 11:00:00;1334314800;2012-04-06 11:00:00;1333710000
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31;2012-04-20 11:00:00;1334919600;2012-04-13 11:00:00;1334314800
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31;2012-04-20 11:00:00;1334919600;2012-04-13 11:00:00;1334314800
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32;2012-04-27 11:00:00;1335524400;2012-04-20 11:00:00;1334919600
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32;2012-04-27 11:00:00;1335524400;2012-04-20 11:00:00;1334919600
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;2012-05-04 11:00:00;1336129200;2012-04-27 11:00:00;1335524400
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;2012-05-04 11:00:00;1336129200;2012-04-27 11:00:00;1335524400
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34;2012-05-11 11:00:00;1336734000;2012-05-04 11:00:00;1336129200
